house_title	house_room	house_area	house_location	house_price
罗湖关口+精装两房+红本少税=310万给力推荐	2室1厅	61.12平米	罗湖区	310万
中海深圳湾畔花园满五一手业主视野好城卖	3室2厅	121.83平米	南山区	828万
信义  名校百外+春雷 南北通双阳台万象汇旁 满五唯一	3室1厅	90.32平米	龙岗区	388万
汇龙湾 3室2厅 760万	3室2厅	86.17平米	龙华区	760万
德福花园电梯朝东一房户型，采光好，业主诚心出售	1室1厅	46.73平米	龙岗区	146万
电梯朝南2房 花园景观 视野开阔 满五年	2室2厅	74.42平米	宝安区	375万
精美LOFT 刚需上车选择  两居室 沐浴朝阳	2室1厅	54.55平米	龙岗区	275万
南北向，中空复式，带85平天台花园，高尔夫景观	5室3厅	225.12平米	南山区	1760万
松坪村三期 格局方正 大客厅 好二房	2室1厅	60.41平米	南山区	370万
南北对流，精装四房，带车位，看海景，视野开阔。	4室2厅	115.14平米	福田区	750万
小区端头位置高楼层四居室，视野开阔，采光通风效果好	4室2厅	124.45平米	南山区	898万
中环花园 2室1厅 308万	2室1厅	73.33平米	龙华区	308万
益田村 大三房 安静看花园 看房方便 有钥匙	3室2厅	96.96平米	福田区	578万
百仕达乐湖 1栋南向三居室 满五税少 近地铁	3室2厅	115.08平米	罗湖区	890万
地铁口，低总价，精装修2房，满2年 ，拎包入住随时看	2室1厅	62.4平米	龙岗区	235万
金港华庭房子住了五年多深圳只有一套房 古典中式装修	3室1厅	87.32平米	宝安区	455万
红树林低总价，安静，居家不二选择	1室1厅	37.94平米	福田区	230万
里城大两房，保养好拎包入住，满五唯一可自赎，税费低	2室1厅	69.86平米	龙岗区	410万
大三居+双阳台+大飘窗+稳定签约+近地铁	3室2厅	88.5平米	罗湖区	450万
松坪村东区三期 精装两房 居住舒适	2室1厅	59.11平米	南山区	410万
汇龙花园 1室1厅 280万	1室1厅	49.27平米	福田区	280万
梅陇镇大三房、南北对流，全明格局。	3室2厅	114.2平米	龙华区	630万
红树湾191平 4阳台，高楼层南北通，满五唯/一	3室1厅	190.56平米	南山区	2450万
荔海春城 大南山脚下 一本证精装四房	4室2厅	150.58平米	南山区	1330万
过来看一看，小区中间，顶层复式还有谁？等您来鉴。	6室2厅	215.71平米	南山区	3200万
中海月朗苑经典户型，精装客厅出阳台	3室1厅	75.68平米	龙岗区	380万
星河两房 厅出大阳台，视野开阔，通风采光好居家温馨	2室2厅	68.67平米	福田区	430万
桐林公寓 1室1厅 220万	1室1厅	31.87平米	福田区	220万
满两年 华润湖贝旧改 户型方正 7天带看18次	1室0厅	22.97平米	罗湖区	165万
万科清林径 2室2厅 266万	2室2厅	79.2平米	龙岗区	266万
